time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,100003;2,50619;2,49563;2,49676;
0,100013;2,50619;2,49563;2,49677;
0,100023;2,50619;2,49563;2,49677;
0,100033;2,50619;2,49563;2,49677;
0,100043;2,50619;2,49563;2,49677;
0,100053;2,50619;2,49563;2,49677;
0,100063;2,50619;2,49563;2,49677;
0,100073;2,50619;2,49563;2,49677;
0,100083;2,50619;2,49563;2,49677;
0,100093;2,50619;2,49562;2,49677;
0,100103;2,50619;2,49562;2,49677;
0,100113;2,50619;2,49562;2,49678;
0,100123;2,50619;2,49562;2,49678;
0,100133;2,50619;2,49562;2,49678;
0,100143;2,50619;2,49562;2,49678;
0,100153;2,50619;2,49562;2,49678;
0,100163;2,50619;2,49562;2,49678;
0,100173;2,50619;2,49562;2,49678;
0,100183;2,50619;2,49562;2,49678;
0,100193;2,50619;2,49562;2,49678;
0,100203;2,50619;2,49562;2,49678;
0,100213;2,50619;2,49562;2,49679;
0,100223;2,50619;2,49562;2,49679;
0,100233;2,50619;2,49562;2,49679;
0,100243;2,50619;2,49562;2,49679;
0,100253;2,50619;2,49561;2,49679;
0,100263;2,50619;2,49561;2,49679;
0,100273;2,50619;2,49561;2,49679;
0,100283;2,50619;2,49561;2,49679;
0,100293;2,50619;2,49561;2,49679;
0,100303;2,50619;2,49561;2,49679;
0,100313;2,50619;2,49561;2,49679;
0,100323;2,50619;2,49561;2,4968;
0,100333;2,50619;2,49561;2,4968;
0,100343;2,50619;2,49561;2,4968;
0,100353;2,50619;2,49561;2,4968;
0,100363;2,50619;2,49561;2,4968;
0,100373;2,50619;2,49561;2,4968;
0,100383;2,50619;2,49561;2,4968;
0,100393;2,50619;2,49561;2,4968;
0,100403;2,50619;2,49561;2,4968;
0,100413;2,50619;2,49561;2,4968;
0,100423;2,50619;2,49561;2,4968;
0,100433;2,50619;2,4956;2,49681;
0,100443;2,50619;2,4956;2,49681;
0,100453;2,50619;2,4956;2,49681;
0,100463;2,50619;2,4956;2,49681;
0,100473;2,50619;2,4956;2,49681;
0,100483;2,50619;2,4956;2,49681;
0,100493;2,50619;2,4956;2,49681;
0,100503;2,50619;2,4956;2,49681;
0,100513;2,50619;2,4956;2,49681;
0,100523;2,50619;2,4956;2,49681;
0,100533;2,50619;2,4956;2,49681;
0,100543;2,50619;2,4956;2,49682;
0,100553;2,50619;2,4956;2,49682;
0,100563;2,50619;2,4956;2,49682;
0,100573;2,50619;2,4956;2,49682;
0,100583;2,50619;2,4956;2,49682;
0,100593;2,50619;2,4956;2,49682;
0,100603;2,50619;2,4956;2,49682;
0,100613;2,50619;2,49559;2,49682;
0,100623;2,50619;2,49559;2,49682;
0,100633;2,50619;2,49559;2,49682;
0,100643;2,50619;2,49559;2,49682;
