time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,100002;2,5063;2,49561;2,49675;
0,100012;2,50608;2,49548;2,49662;
0,100022;2,50642;2,4957;2,49684;
0,100032;2,50651;2,49591;2,49705;
0,100042;2,50642;2,49573;2,49687;
0,100052;2,50615;2,49555;2,49669;
0,100062;2,50641;2,49569;2,49684;
0,100072;2,50643;2,49583;2,49697;
0,100082;2,50634;2,49564;2,49679;
0,100092;2,50609;2,49548;2,49663;
0,100102;2,50644;2,49571;2,49686;
0,100112;2,50654;2,49594;2,49709;
0,100122;2,50645;2,49576;2,49691;
0,100132;2,50617;2,49557;2,49672;
0,100142;2,50639;2,49567;2,49683;
0,100152;2,50638;2,49577;2,49693;
0,100162;2,5063;2,4956;2,49676;
0,100172;2,50608;2,49547;2,49663;
0,100182;2,50642;2,49569;2,49686;
0,100192;2,50651;2,4959;2,49707;
0,100202;2,50643;2,49573;2,49689;
0,100212;2,50615;2,49554;2,49671;
0,100222;2,5064;2,49568;2,49685;
0,100232;2,50642;2,4958;2,49698;
0,100242;2,50633;2,49562;2,49679;
0,100252;2,50609;2,49547;2,49664;
0,100262;2,50644;2,4957;2,49688;
0,100272;2,50654;2,49592;2,4971;
0,100282;2,50645;2,49575;2,49693;
0,100292;2,50617;2,49556;2,49674;
0,100302;2,50639;2,49566;2,49684;
0,100312;2,50637;2,49575;2,49694;
0,100322;2,5063;2,49559;2,49678;
0,100332;2,50608;2,49546;2,49665;
0,100342;2,50642;2,49568;2,49687;
0,100352;2,50651;2,49588;2,49707;
0,100362;2,50642;2,49571;2,4969;
0,100372;2,50615;2,49552;2,49672;
0,100382;2,50641;2,49567;2,49686;
0,100392;2,50643;2,49581;2,497;
0,100402;2,50633;2,49562;2,49682;
0,100412;2,50609;2,49546;2,49666;
0,100422;2,50644;2,49569;2,49689;
0,100432;2,50654;2,49591;2,49711;
0,100442;2,50645;2,49574;2,49694;
0,100452;2,50617;2,49554;2,49675;
0,100462;2,50639;2,49565;2,49686;
0,100472;2,50638;2,49575;2,49695;
0,100482;2,5063;2,49558;2,49679;
0,100492;2,50608;2,49545;2,49666;
0,100502;2,50642;2,49567;2,49688;
0,100512;2,50651;2,49588;2,49709;
0,100522;2,50643;2,49571;2,49692;
0,100532;2,50615;2,49552;2,49673;
0,100542;2,5064;2,49566;2,49687;
0,100552;2,50642;2,49578;2,497;
0,100562;2,50633;2,4956;2,49682;
