time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,100004;2,50629;2,50787;2,50787;
0,100014;2,50626;2,50787;2,50787;
0,100024;2,50613;2,50787;2,50787;
0,100034;2,50645;2,50787;2,50787;
0,100044;2,50653;2,50787;2,50787;
0,100054;2,50642;2,50787;2,50787;
0,100064;2,50617;2,50787;2,50787;
0,100074;2,50628;2,50787;2,50787;
0,100084;2,50622;2,50787;2,50787;
0,100094;2,50628;2,50787;2,50787;
0,100104;2,50618;2,50787;2,50787;
0,100114;2,50634;2,50787;2,50787;
0,100124;2,50629;2,50787;2,50787;
0,100134;2,50626;2,50787;2,50787;
0,100144;2,50613;2,50787;2,50787;
0,100154;2,50645;2,50787;2,50787;
0,100164;2,50653;2,50787;2,50787;
0,100174;2,50642;2,50787;2,50787;
0,100184;2,50616;2,50787;2,50787;
0,100194;2,50628;2,50787;2,50787;
0,100204;2,50623;2,50787;2,50787;
0,100214;2,50628;2,50787;2,50787;
0,100224;2,50618;2,50787;2,50787;
0,100234;2,50634;2,50787;2,50787;
0,100244;2,5063;2,50787;2,50787;
0,100254;2,50626;2,50788;2,50788;
0,100264;2,50613;2,50788;2,50788;
0,100274;2,50646;2,50788;2,50788;
0,100284;2,50656;2,50788;2,50788;
0,100294;2,50645;2,50788;2,50788;
0,100304;2,50619;2,50788;2,50788;
0,100314;2,50627;2,50788;2,50788;
0,100324;2,50619;2,50788;2,50788;
0,100334;2,50631;2,50788;2,50788;
0,100344;2,50624;2,50788;2,50788;
0,100354;2,50628;2,50788;2,50788;
0,100364;2,50617;2,50788;2,50788;
0,100374;2,50636;2,50788;2,50788;
0,100384;2,50633;2,50788;2,50788;
0,100394;2,50626;2,50788;2,50788;
0,100404;2,50612;2,50788;2,50788;
0,100414;2,50644;2,50788;2,50788;
0,100424;2,50653;2,50788;2,50788;
0,100434;2,50642;2,50788;2,50788;
0,100444;2,50617;2,50788;2,50788;
0,100454;2,50628;2,50788;2,50788;
0,100464;2,50621;2,50788;2,50788;
0,100474;2,50629;2,50788;2,50788;
0,100484;2,5062;2,50788;2,50788;
0,100494;2,50631;2,50788;2,50788;
0,100504;2,50624;2,50788;2,50788;
0,100514;2,50627;2,50788;2,50788;
0,100524;2,50616;2,50788;2,50788;
0,100534;2,50637;2,50788;2,50788;
0,100544;2,50636;2,50788;2,50788;
0,100554;2,50627;2,50788;2,50788;
0,100564;2,50611;2,50788;2,50788;
0,100574;2,50633;2,50789;2,50789;
0,100584;2,50633;2,50789;2,50789;
0,100594;2,50627;2,50789;2,50789;
0,100604;2,50612;2,50789;2,50789;
0,100614;2,50651;2,50789;2,50789;
0,100624;2,50666;2,50789;2,50789;
0,100634;2,50658;2,50789;2,50789;
0,100644;2,5063;2,50789;2,50789;
0,100654;2,50643;2,50789;2,50789;
0,100664;2,50634;2,50789;2,50789;
0,100674;2,50626;2,50789;2,50789;
0,100684;2,50611;2,50789;2,50789;
0,100694;2,50646;2,50789;2,50789;
0,100704;2,50657;2,50789;2,50789;
0,100714;2,50647;2,50789;2,50789;
0,100724;2,5062;2,50789;2,50789;
0,100734;2,50626;2,50789;2,50789;
0,100744;2,50617;2,50789;2,50789;
0,100754;2,50634;2,50789;2,50789;
0,100764;2,5063;2,50789;2,50789;
0,100774;2,50626;2,50789;2,50789;
0,100784;2,50612;2,50789;2,50789;
0,100794;2,50647;2,50789;2,50789;
0,100804;2,50657;2,50789;2,50789;
0,100814;2,50646;2,50789;2,50789;
0,100824;2,50619;2,50789;2,50789;
0,100834;2,50627;2,50789;2,50789;
0,100844;2,50618;2,50789;2,50789;
0,100854;2,50632;2,50789;2,50789;
0,100864;2,50627;2,50789;2,50789;
0,100874;2,50626;2,50789;2,50789;
0,100884;2,50614;2,50789;2,50789;
0,100894;2,50641;2,50789;2,50789;
0,100904;2,50645;2,50789;2,50789;
