time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1
0;-0,00900005;-0,00999955;-0,00999955
1,00E-06;-0,00897797;-0,010081;-0,00993563
2,00E-06;-0,00894587;-0,0102187;-0,00980598
4,00E-06;-0,00887715;-0,0105899;-0,00943836
8,00E-06;-0,00874187;-0,0117685;-0,00825535
1,60E-05;-0,00847929;-0,0149359;-0,00509084
2,68E-05;-0,00812936;-0,0197319;-0,00029118
3,94E-05;-0,0077337;-0,0253592;0,00533354
6,27E-05;-0,00700052;-0,0358474;0,0158246
0,000109492;-0,00554858;-0,0568053;0,0367799
0,000203001;-0,00265765;-0,0985483;0,0785252
0,000303001;0,000400325;-0,14278;0,122754
0,000403001;0,0034126;-0,186373;0,16635
0,000503001;0,00635917;-0,229128;0,209103
0,000603001;0,00922959;-0,270834;0,250811
0,000703001;0,0120044;-0,311297;0,291273
0,000803001;0,014674;-0,350318;0,330297
0,000903001;0,0172198;-0,387717;0,367694
0,001003;0,0196335;-0,42331;0,40329
0,001103;0,0218977;-0,456932;0,436911
0,001203;0,0240053;-0,488417;0,4684
0,001303;0,0259406;-0,51762;0,497602
0,001403;0,027698;-0,544397;0,524382
0,001503;0,0292634;-0,568625;0,548609
0,001603;0,0306332;-0,590183;0,570171
0,001703;0,0317951;-0,608972;0,58896
0,001803;0,0327473;-0,6249;0,604891
0,001903;0,0334797;-0,637893;0,617884
0,002003;0,0339926;-0,647887;0,627881
0,002103;0,034278;-0,654836;0,63483
0,002203;0,0343382;-0,658704;0,638702
0,002303;0,0341677;-0,659476;0,639475
0,002403;0,0337708;-0,657146;0,637148
0,002503;0,0331443;-0,651727;0,631729
0,002603;0,0322947;-0,643242;0,623248
0,002703;0,031221;-0,631735;0,611741
0,002803;0,0299321;-0,617258;0,597267
0,002903;0,0284288;-0,599883;0,579892
0,003003;0,0267222;-0,579689;0,559702
0,003103;0,0248153;-0,556777;0,53679
0,003203;0,0227211;-0,531252;0,511268
0,003303;0,0204445;-0,50324;0,483256
0,003403;0,0180002;-0,472871;0,45289
0,003503;0,0153951;-0,440293;0,420312
0,003603;0,0126453;-0,40566;0,385681
0,003703;0,00975925;-0,369138;0,34916
0,003803;0,0067545;-0,3309;0,310924
0,003903;0,00364081;-0,291131;0,271156
0,004003;0,000436803;-0,250019;0,230045
0,004103;-0,00284668;-0,207761;0,187788
0,004203;-0,00619021;-0,164559;0,144586
0,004303;-0,00958214;-0,120619;0,100646
0,004403;-0,0130025;-0,0761497;0,0561788
0,004503;-0,0164392;-0,0313658;0,0113944
0,004603;-0,0198721;0,013521;-0,0334913
0,004703;-0,0232888;0,0582947;-0,0782657
0,004803;-0,0266693;0,102743;-0,122713
0,004903;-0,0300013;0,146652;-0,166624
0,005003;-0,0332653;0,189814;-0,209785
0,005103;-0,0364493;0,232022;-0,251993
0,005203;-0,0395344;0,273074;-0,293045
0,005303;-0,0425097;0,312774;-0,332747
0,005403;-0,0453571;0,350933;-0,370906
0,005503;-0,0480665;0,387368;-0,407343
0,005603;-0,0506213;0,421907;-0,441882
0,005703;-0,0530126;0,454382;-0,474359
0,005803;-0,0552253;0,484641;-0,504618
0,005903;-0,0572521;0,512537;-0,532516
0,006003;-0,0590795;0,537939;-0,557919
0,006103;-0,060702;0,560723;-0,580705
0,006203;-0,0621081;0,580783;-0,600767
0,006303;-0,063294;0,598022;-0,618007
0,006403;-0,0642504;0,612358;-0,632344
0,006503;-0,0649754;0,623721;-0,64371
0,006603;-0,0654621;0,632059;-0,652049
0,006703;-0,0657106;0,637331;-0,657323
0,006803;-0,0657163;0,639512;-0,659506
0,006903;-0,0654815;0,638591;-0,658588
0,007003;-0,0650038;0,634574;-0,654572
0,007103;-0,0642879;0,627478;-0,647479
0,007203;-0,0633335;0,617339;-0,637341
0,007303;-0,0621475;0,604204;-0,624208
0,007403;-0,060732;0,588137;-0,608143
0,007503;-0,0590958;0,569213;-0,589221
0,007603;-0,0572433;0,547523;-0,567533
0,007703;-0,0551852;0,523172;-0,543183
0,007803;-0,0529279;0,496274;-0,516288
0,007903;-0,0504841;0,466959;-0,486974
0,008003;-0,0478618;0,435367;-0,455384
0,008103;-0,0450755;0,401648;-0,421666
0,008203;-0,042135;0,365963;-0,385983
0,008303;-0,0390558;0,328483;-0,348504
0,008403;-0,0358495;0,289387;-0,309409
0,008503;-0,0325326;0,248861;-0,268885
0,008603;-0,0291179;0,207099;-0,227124
0,008703;-0,0256229;0,164301;-0,184326
0,008803;-0,0220611;0,12067;-0,140697
0,008903;-0,0184508;0,0764156;-0,0964426
0,009003;-0,0148059;0,0317482;-0,0517759
0,009103;-0,0111451;-0,0131183;-0,0069096
0,009203;-0,00748268;-0,0579702;0,0379417
0,009303;-0,00383714;-0,102593;0,0825644
0,009403;-0,000222861;-0,146774;0,126745
0,009503;0,00334199;-0,190301;0,170273
0,009603;0,00684336;-0,232968;0,212939
0,009703;0,0102637;-0,274569;0,254542
0,009803;0,0135896;-0,314908;0,294881
0,009903;0,0168045;-0,353791;0,333764
0,010003;0,0198957;-0,391032;0,371006
0,010103;0,022848;-0,426453;0,406428
0,010203;0,0256499;-0,459887;0,439862
0,010303;0,0282876;-0,491171;0,471148
0,010403;0,030751;-0,520159;0,500137
0,010503;0,033028;-0,54671;0,526689
0,010603;0,0351102;-0,570699;0,550679
0,010703;0,0369872;-0,59201;0,571992
0,010803;0,0386527;-0,610542;0,590525
0,010903;0,0400982;-0,626206;0,606192
0,011003;0,0413194;-0,638929;0,618915
0,011103;0,0423099;-0,648647;0,628636
0,011203;0,0430675;-0,655317;0,635307
0,011303;0,0435883;-0,658905;0,638898
