time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1;
0;-0,179988;-0,00999099;-0,00999099;
1e-06;-0,179969;-0,0100715;-0,00992613;
2e-06;-0,179942;-0,0102079;-0,00979521;
4e-06;-0,179891;-0,0105766;-0,00942506;
8e-06;-0,179824;-0,0117509;-0,0082378;
1,6e-05;-0,179804;-0,0149121;-0,00506712;
2,68238e-05;-0,179935;-0,0197004;-0,00026506;
3,9365e-05;-0,180222;-0,0253295;0,00536758;
6,27791e-05;-0,180919;-0,0358319;0,0158775;
0,000109607;-0,182501;-0,056822;0,0368666;
0,000203263;-0,185738;-0,09863;0,0786773;
0,000303263;-0,1892;-0,14286;0,122905;
0,000403263;-0,192681;-0,186451;0,1665;
0,000503263;-0,196184;-0,229204;0,20925;
0,000603263;-0,199712;-0,270906;0,250955;
0,000703263;-0,203271;-0,311365;0,291413;
0,000803263;-0,206863;-0,350383;0,330433;
0,000903263;-0,210496;-0,387777;0,367826;
0,00100326;-0,214167;-0,423365;0,403417;
0,00110326;-0,217885;-0,456982;0,437032;
0,00120326;-0,221648;-0,488461;0,468515;
0,00130326;-0,225462;-0,517659;0,497711;
0,00140326;-0,229325;-0,544429;0,524484;
0,00150326;-0,233241;-0,56865;0,548704;
0,00160326;-0,237208;-0,590201;0,570258;
0,00170326;-0,241229;-0,608984;0,589039;
0,00180326;-0,2453;-0,624904;0,604963;
0,00190326;-0,249423;-0,63789;0,617947;
0,00200326;-0,253594;-0,647876;0,627936;
0,00210326;-0,257813;-0,654818;0,634876;
0,00220326;-0,262074;-0,658678;0,63874;
0,00230326;-0,266377;-0,659443;0,639504;
0,00240326;-0,270713;-0,657105;0,637168;
0,00250326;-0,275083;-0,651679;0,631741;
0,00260326;-0,279477;-0,643187;0,623251;
0,00270326;-0,283893;-0,631673;0,611735;
0,00280326;-0,288319;-0,617188;0,597253;
0,00290326;-0,292754;-0,599806;0,57987;
0,00300326;-0,297184;-0,579606;0,559672;
0,00310326;-0,301607;-0,556687;0,536752;
0,00320326;-0,306009;-0,531156;0,511223;
0,00330326;-0,310385;-0,503139;0,483204;
0,00340326;-0,314722;-0,472764;0,452831;
0,00350326;-0,319014;-0,440182;0,420247;
0,00360326;-0,323245;-0,405544;0,38561;
0,00370326;-0,32741;-0,369018;0,349083;
0,00380326;-0,331494;-0,330777;0,310843;
0,00390326;-0,335488;-0,291005;0,271069;
0,00400326;-0,339379;-0,24989;0,229955;
0,00410326;-0,343158;-0,20763;0,187694;
0,00420326;-0,346809;-0,164426;0,14449;
0,00430326;-0,350326;-0,120485;0,100547;
0,00440326;-0,353692;-0,0760158;0,0560779;
0,00450326;-0,3569;-0,0312321;0,0112922;
0,00460326;-0,359933;0,0136541;-0,0335942;
0,00470326;-0,362786;0,0584265;-0,0783687;
0,00480326;-0,365442;0,102873;-0,122816;
0,00490326;-0,367895;0,14678;-0,166725;
0,00500326;-0,37013;0,189939;-0,209885;
0,00510326;-0,37214;0,232143;-0,252091;
0,00520326;-0,373913;0,273191;-0,29314;
0,00530326;-0,375443;0,312887;-0,332838;
0,00540326;-0,376716;0,351041;-0,370994;
0,00550326;-0,377729;0,387471;-0,407427;
0,00560326;-0,378469;0,422004;-0,441961;
0,00570326;-0,378934;0,454473;-0,474433;
0,00580326;-0,379113;0,484725;-0,504687;
0,00590326;-0,379005;0,512615;-0,532579;
0,00600326;-0,3786;0,538009;-0,557975;
0,00610326;-0,377897;0,560786;-0,580755;
