time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1;
0;-0,00102348;-0,0109874;-0,0109874;
1e-06;-0,00102342;-0,0110752;-0,0109298;
2e-06;-0,0010233;-0,0112283;-0,0108156;
4e-06;-0,00102287;-0,0116388;-0,0104873;
8e-06;-0,00102089;-0,0129033;-0,0093902;
1,6e-05;-0,00101249;-0,016231;-0,00638596;
2,77927e-05;-0,000989724;-0,0216875;-0,00138768;
4,12204e-05;-0,000949501;-0,0279657;0,00439765;
6,54804e-05;-0,000841468;-0,0392617;0,0148709;
0,000114;-0,000507525;-0,061713;0,0359097;
0,00021104;0,00051607;-0,106069;0,0781532;
0,00031104;0,00191516;-0,150981;0,121615;
0,00041104;0,00351491;-0,195003;0,164662;
0,00051104;0,00521783;-0,23801;0,20701;
0,00061104;0,00695975;-0,279845;0,248403;
0,00071104;0,00869686;-0,320339;0,288617;
0,00081104;0,0103978;-0,359316;0,327437;
0,00091104;0,0120392;-0,396602;0,364671;
0,00101104;0,0136021;-0,432025;0,400132;
0,00111104;0,0150713;-0,465419;0,433649;
0,00121104;0,0164333;-0,496628;0,465057;
0,00131104;0,0176764;-0,525503;0,494208;
0,00141104;0,01879;-0,551907;0,52096;
0,00151104;0,0197648;-0,575715;0,545186;
0,00161104;0,0205921;-0,596813;0,566769;
0,00171104;0,0212643;-0,615099;0,585608;
0,00181104;0,0217746;-0,630488;0,601611;
0,00191104;0,0221171;-0,642903;0,614704;
0,00201104;0,0222868;-0,652288;0,624823;
0,00211104;0,0222796;-0,658596;0,631921;
0,00221104;0,0220922;-0,661797;0,635963;
0,00231104;0,0217225;-0,661875;0,636931;
0,00241104;0,0211692;-0,658831;0,63482;
0,00251104;0,0204318;-0,652677;0,62964;
0,00261104;0,019511;-0,643445;0,621417;
0,00271104;0,0184083;-0,631177;0,610189;
0,00281104;0,0171264;-0,615933;0,596011;
0,00291104;0,0156685;-0,597784;0,57895;
0,00301104;0,0140391;-0,576818;0,559087;
0,00311104;0,0122436;-0,553134;0,536519;
0,00321104;0,010288;-0,526845;0,511351;
0,00331104;0,00817941;-0,498078;0,483706;
0,00341104;0,00592573;-0,466968;0,453714;
0,00351104;0,00353558;-0,433666;0,421519;
0,00361104;0,0010184;-0,398329;0,387275;
0,00371104;-0,00161571;-0,361127;0,351145;
0,00381104;-0,00435594;-0,322237;0,313301;
0,00391104;-0,00719089;-0,281845;0,273925;
0,00401104;-0,0101086;-0,240145;0,233204;
0,00411104;-0,0130966;-0,197334;0,191333;
0,00421104;-0,016142;-0,153618;0,148511;
0,00431104;-0,0192314;-0,109205;0,104943;
0,00441104;-0,0223513;-0,0643088;0,0608364;
0,00451104;-0,0254877;-0,0191423;0,0164023;
0,00461104;-0,0286266;0,0260779;-0,0281479;
0,00471104;-0,0317537;0,0711361;-0,0726011;
0,00481104;-0,0348548;0,115817;-0,116746;
0,00491104;-0,0379156;0,159906;-0,160371;
0,00501104;-0,0409218;0,203194;-0,203269;
0,00511104;-0,0438595;0,245473;-0,245234;
0,00521104;-0,0467147;0,28654;-0,286068;
0,00531104;-0,049474;0,326201;-0,325574;
0,00541104;-0,0521239;0,364265;-0,363565;
0,00551104;-0,0546518;0,40055;-0,39986;
0,00561104;-0,0570452;0,434882;-0,434285;
0,00571104;-0,0592923;0,467097;-0,466677;
0,00581104;-0,0613817;0,497042;-0,496881;
0,00591104;-0,0633029;0,524572;-0,524753;
0,00601104;-0,0650459;0,549557;-0,550161;
0,00611104;-0,0666014;0,571875;-0,572983;
0,00621104;-0,067961;0,591421;-0,593112;
0,00631104;-0,0691172;0,608101;-0,61045;
0,00641104;-0,070063;0,621834;-0,624917;
0,00651104;-0,0707927;0,632555;-0,636442;
0,00661104;-0,0713012;0,640212;-0,644972;
0,00671104;-0,0715846;0,644768;-0,650466;
0,00681104;-0,0716399;0,646201;-0,652899;
0,00691104;-0,0714648;0,644503;-0,652258;
0,00701104;-0,0710584;0,639683;-0,648549;
0,00711104;-0,0704207;0,631763;-0,641788;
0,00721104;-0,0695524;0,62078;-0,632009;
0,00731104;-0,0684557;0,606786;-0,619259;
0,00741104;-0,0671333;0,589847;-0,603598;
0,00751104;-0,0655892;0,570045;-0,585103;
0,00761104;-0,0638283;0,547472;-0,563863;
0,00771104;-0,0618564;0,522237;-0,539978;
0,00781104;-0,0596802;0,49446;-0,513564;
0,00791104;-0,0573074;0,464271;-0,484747;
0,00801104;-0,0547465;0,431816;-0,453666;
0,00811104;-0,0520067;0,397249;-0,420468;
0,00821104;-0,0490982;0,360734;-0,385314;
0,00831104;-0,0460317;0,322445;-0,348371;
0,00841104;-0,0428187;0,282564;-0,309817;
0,00851104;-0,0394715;0,241281;-0,269836;
0,00861104;-0,0360026;0,198794;-0,228619;
0,00871104;-0,0324253;0,155304;-0,186364;
0,00881104;-0,0287534;0,111018;-0,143274;
0,00891104;-0,0250008;0,0661478;-0,0995532;
0,00901104;-0,0211821;0,0209067;-0,0554123;
0,00911104;-0,0173118;-0,0244894;-0,0110621;
0,00921104;-0,0134049;-0,0698247;0,0332849;
0,00931104;-0,00947647;-0,114883;0,0774167;
0,00941104;-0,00554148;-0,159449;0,121122;
0,00951104;-0,00161506;-0,203312;0,164191;
0,00961104;0,00228777;-0,246261;0,206419;
0,00971104;0,00615213;-0,288093;0,247603;
0,00981104;0,00996335;-0,328608;0,287545;
0,00991104;0,013707;-0,367613;0,326056;
0,010011;0,0173691;-0,404922;0,36295;
0,010111;0,020936;-0,440358;0,398051;
0,010211;0,0243943;-0,473752;0,43119;
0,010311;0,0277316;-0,504945;0,46221;
0,010411;0,0309356;-0,533788;0,490961;
0,010511;0,0339949;-0,560143;0,517306;
0,010611;0,0368988;-0,583887;0,541119;
0,010711;0,0396371;-0,604904;0,562285;
0,010811;0,0422006;-0,623097;0,580704;
0,010911;0,0445809;-0,638377;0,596286;
0,011011;0,0467702;-0,650673;0,608957;
0,011111;0,048762;-0,659926;0,618657;
0,011211;0,0505504;-0,666092;0,625338;
0,011311;0,0521304;-0,669142;0,628969;
0,011411;0,0534983;-0,669062;0,629531;
0,011511;0,054651;-0,665853;0,627022;
0,011611;0,0555866;-0,65953;0,621453;
0,011711;0,0563041;-0,650123;0,612851;
0,011811;0,0568036;-0,637678;0,601257;
0,011911;0,057086;-0,622255;0,586725;
0,012011;0,0571533;-0,603927;0,569325;
0,012111;0,0570085;-0,582782;0,54914;
0,012211;0,0566554;-0,558921;0,526265;
0,012311;0,056099;-0,532459;0,50081;
0,012411;0,0553448;-0,503521;0,472897;
0,012511;0,0543995;-0,472247;0,442658;
0,012611;0,0532706;-0,438786;0,410237;
0,012711;0,0519662;-0,403297;0,37579;
