time;V(/VoutN)1;V(/VoutP)1;
0;-0,0099995;-0,0099995;
1e-06;-0,00999132;-0,0098459;
2e-06;-0,010021;-0,00960833;
4e-06;-0,0101695;-0,00901795;
8e-06;-0,0108953;-0,00738217;
1,54567e-05;-0,0129927;-0,00360197;
2,58243e-05;-0,0163937;0,00214695;
3,93237e-05;-0,0209281;0,00973168;
6,63227e-05;-0,0299888;0,0248998;
0,000120321;-0,048085;0,0551953;
0,000163119;-0,0623827;0,0791547;
0,000208196;-0,0773839;0,104312;
0,000266503;-0,0966678;0,136706;
0,000332215;-0,1182;0,172956;
0,000432215;-0,150437;0,22746;
0,000532215;-0,181879;0,280956;
0,000632215;-0,212339;0,333222;
0,000732215;-0,241649;0,384035;
0,000832215;-0,269635;0,433183;
0,000932215;-0,296139;0,480459;
0,00103221;-0,321001;0,525667;
0,00113221;-0,344078;0,568617;
0,00123221;-0,365229;0,609136;
0,00133221;-0,384328;0,647054;
0,00143221;-0,401253;0,682221;
0,00153221;-0,415899;0,714493;
0,00163221;-0,428168;0,743745;
0,00173221;-0,437977;0,769862;
0,00183221;-0,44525;0,792746;
0,00193221;-0,449931;0,812311;
0,00203221;-0,451971;0,828491;
0,00213221;-0,451336;0,841229;
0,00223221;-0,448006;0,850493;
0,00233221;-0,441974;0,856257;
0,00243221;-0,433245;0,85852;
0,00253221;-0,421841;0,857289;
0,00263221;-0,407793;0,852595;
0,00273221;-0,39115;0,844477;
0,00283221;-0,371969;0,832997;
0,00293221;-0,350326;0,818225;
0,00303221;-0,326302;0,800255;
0,00313221;-0,299997;0,779186;
0,00323221;-0,271518;0,755138;
0,00333221;-0,240987;0,72824;
0,00343221;-0,208532;0,698638;
0,00353221;-0,174295;0,666486;
0,00363221;-0,138425;0,631952;
0,00373221;-0,101082;0,595213;
0,00383221;-0,0624302;0,556458;
0,00393221;-0,0226452;0,515881;
0,00403221;0,0180956;0,473688;
0,00413221;0,0596046;0,430088;
0,00423221;0,101694;0,3853;
0,00433221;0,144169;0,339542;
0,00443221;0,186835;0,293043;
0,00453221;0,229492;0,246028;
0,00463221;0,271943;0,198728;
0,00473221;0,313987;0,15137;
0,00483221;0,35543;0,104187;
0,00493221;0,396071;0,0574035;
0,00503221;0,435722;0,0112457;
0,00513221;0,47419;-0,0340676;
0,00523221;0,511294;-0,0783188;
0,00533221;0,546851;-0,1213;
0,00543221;0,580693;-0,162808;
0,00553221;0,612651;-0,202648;
0,00563221;0,642571;-0,240633;
0,00573221;0,670302;-0,27659;
0,00583221;0,695708;-0,310351;
0,00593221;0,718658;-0,341764;
0,00603221;0,739037;-0,370685;
0,00613221;0,756735;-0,396987;
0,00623221;0,771661;-0,420553;
0,00633221;0,783731;-0,441282;
0,00643221;0,792876;-0,459085;
0,00653221;0,79904;-0,473893;
0,00663221;0,802181;-0,485645;
0,00673221;0,802269;-0,494301;
0,00683221;0,799288;-0,499834;
0,00693221;0,793238;-0,502234;
0,00703221;0,78413;-0,501505;
0,00713221;0,77199;-0,497669;
0,00723221;0,756859;-0,490762;
0,00733221;0,73879;-0,480836;
0,00743221;0,717849;-0,467957;
0,00753221;0,694117;-0,452208;
0,00763221;0,667685;-0,433684;
0,00773221;0,638659;-0,412497;
0,00783221;0,607155;-0,388767;
0,00793221;0,573299;-0,362634;
0,00803221;0,537232;-0,334243;
0,00813221;0,499101;-0,303755;
0,00823221;0,459063;-0,27134;
0,00833221;0,417284;-0,237178;
0,00843221;0,37394;-0,201457;
0,00853221;0,329209;-0,164374;
0,00863221;0,283281;-0,126132;
0,00873221;0,236347;-0,0869419;
0,00883221;0,188604;-0,0470161;
0,00893221;0,140252;-0,00657428;
0,00903221;0,0914951;0,0341635;
0,00913221;0,0425366;0,0749736;
0,00923221;-0,00641719;0,115633;
0,00933221;-0,0551622;0,155919;
0,00943221;-0,103494;0,195611;
0,00953221;-0,151211;0,234488;
0,00963221;-0,198115;0,272337;
0,00973221;-0,244012;0,308947;
0,00983221;-0,288711;0,344114;
0,00993221;-0,33203;0,377639;
0,0100322;-0,373791;0,409335;
0,0101322;-0,413824;0,439018;
0,0102322;-0,451968;0,466518;
0,0103322;-0,488071;0,491674;
0,0104322;-0,521989;0,514336;
0,0105322;-0,553591;0,534366;
0,0106322;-0,582754;0,551639;
0,0107322;-0,609369;0,566044;
0,0108168;-0,629817;0,575915;
0,0109058;-0,649232;0,583954;
0,0109886;-0,665318;0,589229;
0,011066;-0,678589;0,592206;
0,011166;-0,693179;0,593223;
0,011266;-0,704846;0,591021;
0,011366;-0,713562;0,585582;
0,011466;-0,719312;0,576905;
0,011566;-0,722096;0,565006;
0,011666;-0,721927;0,549913;
0,011766;-0,718832;0,531673;
0,011866;-0,712851;0,510349;
0,011966;-0,704037;0,486016;
0,012066;-0,692458;0,458766;
0,012166;-0,678192;0,428705;
0,012266;-0,661332;0,395954;
0,012366;-0,64198;0,360646;
0,012466;-0,620251;0,322927;
0,012566;-0,59627;0,282957;
0,012666;-0,570173;0,240904;
0,012766;-0,542105;0,19695;
0,012866;-0,512219;0,151284;
0,012966;-0,480677;0,104106;
0,013066;-0,447648;0,0556235;
0,013166;-0,413306;0,0060502;
0,013266;-0,377833;-0,044394;
0,013366;-0,341412;-0,0954836;
0,013466;-0,304235;-0,14699;
0,013566;-0,266491;-0,198681;
0,013666;-0,228375;-0,250324;
0,013766;-0,190082;-0,301684;
0,013866;-0,151805;-0,352528;
0,013966;-0,113738;-0,402624;
0,014066;-0,0760739;-0,451743;
0,014166;-0,0390003;-0,499659;
0,014266;-0,00270308;-0,546151;
0,014366;0,0326377;-0,591005;
0,014466;0,0668463;-0,634013;
0,014566;0,0997546;-0,674975;
0,014666;0,1312;-0,7137;
0,014766;0,161031;-0,750007;
0,014866;0,189099;-0,783724;
0,014966;0,215271;-0,814693;
0,015066;0,239421;-0,842767;
0,015166;0,261433;-0,867811;
0,015266;0,281202;-0,889704;
0,015366;0,298638;-0,908341;
0,015466;0,313659;-0,923629;
0,015566;0,326198;-0,935491;
0,015666;0,3362;-0,943866;
0,015766;0,343622;-0,948708;
0,015866;0,348436;-0,949987;
0,015966;0,350626;-0,947691;
0,016066;0,35019;-0,94182;
0,016166;0,34714;-0,932395;
0,016266;0,341501;-0,919449;
0,016366;0,33331;-0,903034;
0,016466;0,322618;-0,883216;
0,016566;0,30949;-0,860076;
0,016666;0,294002;-0,833712;
0,016766;0,276242;-0,804235;
0,016866;0,25631;-0,771771;
