time;V(/VoutN)1;V(/VoutP)1;V(/BiasOut)1;a
0;-0,0109874;-0,0109874;-0,00102348;
1,00E-07;-0,0109888;-0,0109871;-0,00102347;
2,00E-07;-0,0109916;-0,0109866;-0,00102347;
4,00E-07;-0,0109997;-0,0109846;-0,00102347;
8,00E-07;-0,0110284;-0,0109744;-0,00102346;
1,60E-06;-0,0111251;-0,0109241;-0,00102334;
3,20E-06;-0,0114359;-0,0107117;-0,00102262;
6,40E-06;-0,0123791;-0,00996113;-0,00101907;
1,28E-05;-0,0149336;-0,00777611;-0,00100387;
2,28E-05;-0,0195392;-0,00370843;-0,000959785;
3,28E-05;-0,0242724;0,000531146;-0,000892816;
4,28E-05;-0,0289873;0,00479285;-0,000805108;
5,28E-05;-0,0336832;0,00907208;-0,000698602;
6,28E-05;-0,0383615;0,0133669;-0,000575064;
7,28E-05;-0,0430236;0,0176755;-0,000436092;
8,28E-05;-0,0476705;0,0219963;-0,000283139;
9,28E-05;-0,0523033;0,0263278;-0,000117522;
0,0001028;-0,056923;0,0306688;5,96E-05;
0,0001128;-0,0615305;0,0350178;0,000247033;
0,0001228;-0,0661263;0,0393738;0,0004439;
0,0001328;-0,0707112;0,0437358;0,000649272;
0,0001428;-0,0752857;0,0481026;0,000862336;
0,0001528;-0,0798502;0,0524735;0,00108236;
0,0001628;-0,0844053;0,0568475;0,00130866;
0,0001728;-0,0889513;0,0612239;0,00154064;
0,0001828;-0,0934885;0,0656019;0,00177775;
0,0001928;-0,0980171;0,0699809;0,00201947;
0,0002028;-0,102537;0,0743602;0,00226536;
0,0002128;-0,107049;0,0787393;0,002515;
0,0002228;-0,111554;0,0831175;0,00276802;
0,0002328;-0,11605;0,0874943;0,00302406;
0,0002428;-0,120538;0,0918692;0,00328281;
0,0002528;-0,125018;0,0962418;0,00354399;
0,0002628;-0,129491;0,100612;0,00380735;
0,0002728;-0,133956;0,104978;0,00407263;
0,0002828;-0,138413;0,109341;0,00433964;
0,0002928;-0,142863;0,1137;0,00460816;
0,0003028;-0,147304;0,118054;0,00487802;
0,0003128;-0,151738;0,122404;0,00514906;
0,0003228;-0,156163;0,126749;0,00542113;
0,0003328;-0,160581;0,131088;0,00569408;
0,0003428;-0,16499;0,135422;0,00596779;
0,0003528;-0,169391;0,139749;0,00624215;
0,0003628;-0,173783;0,144071;0,00651705;
0,0003728;-0,178167;0,148385;0,0067924;
0,0003828;-0,182542;0,152693;0,00706809;
0,0003928;-0,186909;0,156994;0,00734406;
0,0004028;-0,191266;0,161287;0,00762022;
0,0004128;-0,195614;0,165572;0,00789651;
0,0004228;-0,199953;0,16985;0,00817286;
0,0004328;-0,204283;0,174119;0,0084492;
0,0004428;-0,208602;0,17838;0,00872549;
0,0004528;-0,212912;0,182632;0,00900167;
0,0004628;-0,217212;0,186875;0,0092777;
0,0004728;-0,221502;0,191109;0,00955352;
0,0004828;-0,225782;0,195334;0,00982911;
0,0004928;-0,230051;0,199549;0,0101044;
0,0005028;-0,234309;0,203754;0,0103794;
0,0005128;-0,238556;0,20795;0,010654;
0,0005228;-0,242793;0,212134;0,0109282;
0,0005328;-0,247018;0,216309;0,0112021;
0,0005428;-0,251232;0,220473;0,0114754;
0,0005528;-0,255434;0,224626;0,0117483;
0,0005628;-0,259624;0,228767;0,0120207;
0,0005728;-0,263802;0,232898;0,0122926;
0,0005828;-0,267969;0,237016;0,0125639;
0,0005928;-0,272122;0,241124;0,0128347;
0,0006028;-0,276263;0,245219;0,0131048;
0,0006128;-0,280392;0,249302;0,0133744;
0,0006228;-0,284507;0,253372;0,0136432;
0,0006328;-0,28861;0,25743;0,0139115;
0,0006428;-0,292699;0,261476;0,014179;
0,0006528;-0,296774;0,265508;0,0144459;
0,0006628;-0,300836;0,269527;0,0147121;
0,0006728;-0,304884;0,273533;0,0149775;
0,0006828;-0,308918;0,277525;0,0152422;
0,0006928;-0,312937;0,281504;0,0155061;
0,0007028;-0,316942;0,285468;0,0157692;
0,0007128;-0,320933;0,289419;0,0160315;
0,0007228;-0,324909;0,293355;0,0162931;
0,0007328;-0,328869;0,297277;0,0165538;
0,0007428;-0,332815;0,301184;0,0168136;
0,0007528;-0,336744;0,305076;0,0170726;
0,0007628;-0,340659;0,308953;0,0173308;
0,0007728;-0,344557;0,312815;0,017588;
0,0007828;-0,34844;0,316661;0,0178443;
0,0007928;-0,352307;0,320491;0,0180998;
0,0008028;-0,356157;0,324306;0,0183543;
0,0008128;-0,359991;0,328105;0,0186078;
0,0008228;-0,363808;0,331888;0,0188604;
0,0008328;-0,367608;0,335654;0,019112;
0,0008428;-0,371391;0,339404;0,0193627;
0,0008528;-0,375157;0,343137;0,0196124;
0,0008628;-0,378905;0,346853;0,019861;
0,0008728;-0,382636;0,350552;0,0201086;
0,0008828;-0,386349;0,354234;0,0203552;
0,0008928;-0,390044;0,357898;0,0206008;
0,0009028;-0,393721;0,361545;0,0208453;
